title1,abstract1,title2,abstract2
Studi Literatur : Faktor-faktor yang Mempengaruhi Keputusan Masyarakat dalam Memilih Asuransi Kesehatan,"Asuransi kesehatan merupakan suatu alternatif cara pembayaran layanan kesehatan yang dapat dipakai karena memiliki banyak fungsi peningkatan kesehatan suatu individu bahkan hingga dapat mencapai prinsip health coverage. Berdasarkan data dari Badan Pusat Statistik (BPS), sebanyak 69,62% penduduk di Indonesia memiliki jaminan kesehatan pada 2022. Oleh karena itu, tujuan dari penelitian ini adalah peneliti ingin mengetahui mengenai faktor-faktor apa saja yang memengaruhi keputusan masyarakat dalam memilih asuransi kesehatan. Metode yang digunakan dalam penelitian ini adalah Systematic Literature Review (SLR) dari sepuluh jurnal nasional yang diperoleh menggunakan fasilitas database online melalui halaman google scholar. Jurnal dipilih berdasarkan publikasi yang diterbitkan antara 2014 dan 2022. Terdapat berbagai faktor yang memengaruhi masyarakat dalam memilih asuransi kesehatan, antara lain faktor budaya, sosial, pribadi, dan psikologis. Faktor tersebut berpengaruh positif dan signifikan terhadap keputusan pembelian asuransi. Selain itu, terdapat faktor produk itu sendiri dalam keputusan masyarakat untuk memilih asuransi kesehatan, yaitu faktor pemasaran, produk, jaminan, dan harga. Sedangkan, aspek wilayah, status perkawinan, rumah tangga, jenis kelamin, umur, kepemilikan NIK, tingkat pendidikan, lapangan usaha, keluhan kesehatan, status ekonomi, dan pengobatan sendiri memengaruhi kepemilikan jaminan kesehatan. Jadi terdapat banyak faktor yang dapat memengaruhi keputusan masyarakat dalam memilih asuransi kesehatan. 
  
 ",PENGARUH PENDIDIKAN KESEHATAN TERHADAP PENINGKATAN PENGETAHUAN REMAJA TENTANG PENYAKIT HIV/AIDS DI SMKS X JAKARTA,"Abstract.  Adolescence is a productive age that is very vulnerable to contracting HIV-AIDS, because at that time adolescents experience high sexual urges and are always looking for information about sex, and the knowledge and information related to reproductive health they get is very lacking. Teenagers generally prefer to look for various sources of information they can get, such as accessing adult sites on the internet, trying to masturbate, making out or even having sex with their girlfriends. Health education plays an important role in increasing youth's knowledge and attitudes towards HIV-AIDS prevention. The purpose of this study was to determine the effect of health education on increasing adolescent knowledge about HIV/AIDS. The type of research used is qualitative with a pre-experimental design with one group pretest posttest. The results of this study indicated that there was an effect of health education on increasing adolescent knowledge about HIV/AIDS in class XII students of SMKS X Jakarta with the chi-square test results obtained p-value = 0.000."
"ANALISIS PERBEDAAN PENGETAHUAN, SIKAP DAN MOTIVASI DALAM PEMERIKSAAN KESEHATAN BERKALA PADA PEGAWAI BPJS KESEHATAN CABANG KUPANG","Pemeriksaan kesehatan berkala bagi pegawai bukan hanya kewajiban, tetapi juga investasi dalam kesejahteraan dan produktivitas. Tujuan penelitian ini adalah menjelaskan perbedaan pengetahuan, sikap dan motivasi dalam pemeriksaan kesehatan berkala pegawai BPJS Kesehatan Cabang Kupang. Penelitian ini merupakan penelitian eksperimen dengan desain randomized pretest posttest control group design. Jumlah sampel sebanyak 30 dengan rincian 15 sampel perlakuan dan 15 sampel kontrol. Analisis data menggunakan uji Wilcoxon dan uji Mann Whitnney. Hasil penelitian menunjukkan bahwa, Ada perbedaan pengetahuan, sikap, dan motivasi dalam pemeriksaan kesehatan berkala sebelum dan sesudah perlakuan promosi kesehatan dengan p value < 0,05, Ada perbedaan pengetahuan dalam pemeriksaan kesehatan berkala pegawai antara kelompok perlakuan dan kelompok kontrol sesudah promosi kesehatan dengan nilai p value 0,033<0,05, Ada perbedaan sikap dalam pemeriksaan kesehatan berkala pegawai antara kelompok perlakuan dan kelompok kontrol sesudah promosi kesehatan dengan nilai p value 0,012<0,05, Ada perbedaan motivasi dalam pemeriksaan kesehatan berkala pegawai antara kelompok perlakuan dan kelompok kontrol sesudah promosi kesehatan dengan nilai p value 0,003<0,05. Penelitian ini dapat dimanfaatkan oleh BPJS Kesehatan untuk membuat kebijakan terkait pemeriksaan kesehatan berkala dan merancang media peningkatan pengetahuan, sikap dan motivasi pegawai yang sesuai bagi pegawai agar melakukan pemeriksaan kesehatan berkala.",Pengaruh Ekspor dan Impor terhadap Pertumbuhan Ekonomi di Indonesia,Karya ilmiah ini ditujukkan untuk mengetahui pengaruh ekspor dan impor terhadap pertumbuhan ekonomi Indonesia. Objek karya ilmiah yang digunakan adalah Produk Domestik Bruto Indonesia. Teknik pengumpulan data dalam karya ilmiah ini menggunakan teknik dokumentasi. Karya ilmiah ini menggunakan data pendukung dari Badan Pusat Statistik (BPS). Hasil penelitian ini mengindikasikan bahwa adanya pengaruh ekspor dan impor terhadap pertumbuhan ekonomi. Kesimpulan pada penelitian ini Bila negara lebih dominan melakukan ekspor daripada impor maka pendapatan nasional negara semakin meningkat dan pertumbuhan ekonomi meningkat pula. Pada saat pandemi ini Indonesia mengalami kesulitan yang mempen-garuhi kegiatan impor seperti meningkatnya pengangguran dan berkurangnya pendapatan masyarakat sehingga daya beli masyarakat bekurang serta mahalnya komoditas impor. Kesulitan lain yang dihadapi yaitu permasalahan ekspor dimana banyaknya negara-negara yang melakukan pembatasan wilayah sehingga barang ekspor terhambat pengirimannya. Kesulitan-kesulitan yang dialami ini dapat berpengaruh pada pendapatan nasional negara yang terus berkurang dikarenakan pengangguran meningkat dan produksi nasional terhenti. Hal tersebut menjadi salah satu indikator dari pertumbuhan ekonomi. Untuk menghadapi kesulitan tersebut pemerintah menerapkan kebijakan-kebijakan upaya untuk memulihkan segala bentuk kegiatan ekonomi yang dapat memperlambat pertumbuhan ekonomi.
PENGARUH TEKNOLOGI PEMBELAJARAN KULIAH ONLINE DI ERA COVID-19 DAN DAMPAKNYA TERHADAP MENTAL MAHASISWA,"Awal virus corona ditemukan ketika ada penduduk kota Wuhan Cina terjangkit.Penyakit disebabkan oleh virus SARS-CoV-2, sebelumnya orang beranggapan gejala yang dialami sebagai flu biasa, sampai WHO mendeklarasikan pandemi COVID-19. Sampai tanggal 26 Mei 2020, ada 5.406.282 kasus, termasuk 343.562 kematian. Penelitian menggunakan metode mixed methods, dengan melakukan analisa statistik parametris dan non parametris dilanjutkan deskriptif kualitatif. Penelitian di kampus Telkom University dan UIN SGD Bandung menunjukkan sekitar 60.5 % mahasiswa siap beradaptasi dengan penggunaan teknologi pembelajaran perkuliahan online tetapi sekitar 59.5 % keberatan atas tugas yang diberikan dosen yang berakibat tingkat stress mahasiswa sekitar 60 %. Kalau hal ini dibiarkan terus akan berakibat fatal dalam perkembangan kejiwaan mahasiswa, dan sebanyak 92 % mahasiswa memilih dan lebih suka perkuliahan tatap muka di kelas di banding perkuliahan online. Sehingga penelitian ini ada hubungan yang erat antara perkuliahan online dengan sikap mental mahasiswa. 
  
Kata kunci: Teknologi pembelajaran, kuliah online, COVD-19, stres, kejiwaan 
 ",PEMANFAATAN TEKNOLOGI INTERNET OF THINGS (IOT) PADA BIDANG PERTANIAN,"Kemajuan teknologi diera saat ini membuat bermacam - macam hal wajib mengutamakan efesiensi serta kemudahan dalam melaksanakan pekerjaan yang sering dilakukan tiap hari, hal itu menjadikan banyak manusia menghasilkan bermacam jenis teknologi yang otomatis dan dapat membantu memudahkan pekerjaan serta tidak perlu banyak menyita waktu. Internet of Things (IoT) merupakan sebuah teknologi yang dibangun untuk memberikan kemudahan didalamnya, dengan memungkinkan kita dapat terhubung dengan alat melalui internet. Karya ilmiah ini di tulis bertujuan untuk mengetahui apa saja pemanfaatan IoT pada salah satu sector ekonomi di Indonesia yaitu pertanian. Sector pertanian merupakan sumber penghasilan yang cukup memberikan dampak besar bagi perekonomian di Indonesia, contohnya seperti padi, jagung, kelapa sawit, lada, kopi, teh dan lain lain. Pada karya ilmiah yang di tulis oleh penulis digunakan metode penulisan literatur review / studi pustaka. Hasil dari penulisan karya ilmiah ini adalah gambaran mengenai apa saja pemanfaatan teknologi IoT di bidang pertanian yang nantinya dapat membantu masyarakat untuk meningkatkan hasil dan kualitas pertaniannya. Dan di setiap pembahasan masing - masing pemanfaatan akan ada citation yang berguna sebagai rujukan untuk lebih memahami mengenai masing – masing pemanfaatan teknologi IoT"
Peran Teknologi Pendidikan dalam Pembelajaran,"The development of information technology which is increasingly rapid in the current era of globalization cannot be avoided anymore its impact on the world of education. Global demands require the world of education to always adjust technological developments to efforts to improve the quality of education, especially adjusting the use of information and communication technology for education, especially in the learning process. This research is a library research method. Educational technology is the application of scientific knowledge to learning, as a result of which learning objectives can be achieved effectively and efficiently, which are not only limited to tools and goods or hardware but also software, and brainware. In the development and utilization of learning technology there are still three basic principles, namely: 1) System approach, 2) Learner centered, 3) Utilization of learning resources as much as possible (utilizing learning resources). The results of the study illustrate that educational technology has a very crucial role in learning. So it can be said that the discovery of educational technology education is a unity that cannot be separated.",Hubungan Beban Kerja Tenaga Kesehatan dengan Kelelahan Kerja di Puskesmas Kecamatan Sukmajaya Kota Depok Selama Pandemi,"Beban kerja merupakan salah satu faktor risiko yang menyebabkan terjadinya kelelahan. Situasi pandemi saat ini memberikan dampak nyata khususnya pada sektor kesehatan. WHO menetapkan COVID-19 sebagai pandemi pada tahun 2020. Dampak pandemi COVID-19 menyebabkan tenaga kesehatan sebagai sumberdaya penyedia layanan kesehatan dihadapkan pada situasi berbeda, salah satunya terjadi peningkatan pada tuntutan pekerjaan. Tingginya tuntutan pekerjaan yang diterima tenaga kesehatan akan menjadi penyebab beban kerja menjadi tinggi sehingga lebih berisiko mengalami kelelahan kerja. Penelitian ini bertujuan untuk mengetahui hubungan antara beban kerja dengan kelelahan kerja di Puskesmas Kecamatan Sukmajaya selama masa pandemi. Penelitian ini menggunakan desain cross sectional. Sampel yang digunakan pada penelitian ini adalah sampel jenuh dengan keseluruhan responden merupakan tenaga kesehatan Puskesmas Kecamatan Sukmajaya. Hasil analisis bivariat menunjukkan terdapat hubungan antara beban kerja dengan kelelahan kerja.  Tenaga kesehatan dengan beban kerja tinggi memiliki kecenderungan sebanyak 9,9 kali mengalami kelelahan kerja tinggi. Setiap pekerjaan memiliki tuntutan yang mengharuskan pekerjanya menyelesaikan tuntutan tersebut sesuai dengan standar yang telah ditentukan. Namun adanya tuntutan pekerjaan yang berlebihan dan terus menerus mempengaruhi kelelahan kerja, dampak negatif yang akan timbul saat pekerja mengalami kelelahan kerja adalah tidak tercapainya suatu standar atau target yang telah ditetapkan"
Literasi Kesehatan Sebagai Upaya Peningkatan Perilaku Kesehatan Remaja,"Bonus demografi di Indonesia saat ini menjadi tantangan bagi dunia kesehatan di Indonesia. Dimana 16,81% dari populasi usia produktif adalah remaja sehingga perilaku kesehatan remaja menjadi penting untuk diperhatikan agar terciptanya sumber daya manusia yang berkualitas di Indonesia. Siswa Sekolah Menengah Kejuruan (SMK) memiliki tujuan menghasilkan sumberdaya manusia yang berdaya saing dan memiliki kompetensi dalam mendapatkan pekerjaan. Kompetensi dan kemampuan berdaya saing bisa didapatkan oleh siswa yang sehat secara fisik dan psikologis. Tujuan pengabdian masyarakat yaitu peningkatan perilaku kesehatan dalam kegiatan ini berupa promosi dan edukasi menggunakan media booklet bergambar yang disesuaikan dengan tumbuh kembang remaja. Literasi kesehatan merupakan salah satu metode untuk menyampaikan informasi kesehatan kepada para siswi agar perilaku kesehatan dapat diimplikasikan dalam kehidupan sehari-hari. Perilaku kesehatan mencakup sanitasi dan hygiene dan kesehatan reproduksi, kesehatan mental, diet sehat, penggunaan obat-obatan dan minuman beralkohol, merokok, serta aktivitas fisik. Untuk mengevaluasi kegiatan ini, dilakukan pengukuran tingkat pengetahuan remaja mengenai perilaku kesehatan remaja dari tujuh aspek tersebut, sebelum dan sesudah program edukasi diberikan. Hasil pengabdian menunjukan 42 peserta literasi kesehatan yang terlibat dalam kegiatan ini, terdapat peningkatan pengetahuan sebelum dan sesudah kegiatan. Terjadi peningkatan pengetahuan dan pemahaman dari keenam dimensi perilaku kesehatan remaja. Dengan meningkatkan derajat literasi kesehatan remaja diharapkan semakin meningkatkan kesadaran diri remaja untuk menjaga kesehatan, memiliki perilaku kesehatan yang positif agar meminimalkan resiko terhadap penyakit degeneratif, penyakit kronis, penyakit menular, dan permasalahan kesehatan jiwa yang berat.",Skema Catatan Kesehatan menggunakan Teknologi Blockchain dalam Pendidikan,"Salah satu permasalahan serius yang dihadapi bangsa Indonesia adalah masalah medis khususnya masalah medis anak usia sekolah. Rekam medis data siswa merupakan suatu hal yang sangat penting serta memberikan manfaat yang dirasakan baik dari pasien, dokter dan petugas medis lainnya dalam hal pengambilan keputusan klinis. Melihat kepentingan hadirnya rekam medis, di Indonesia pun telah menerapkan inovasi penggunaan teknologi dalam penerapan rekam medis digital. Namun, hingga saat ini masih terdapat permasalahan yang terjadi dalam penerapan teknologi rekam medis yang ada bersifat sentralisasi sehingga masih sulit mendapatkan kepercayaan dari pasien. Oleh karena itu, dalam hal ini penelitian akan memiliki menyajikan keterbaruan berupa implementasi teknologi Blockchain pada objek penelitian penyimpanan database rekam medis tanpa keterlibatan pihak ketiga (Desentralisasi). sehingga sebagai solusi, pada penelitian ini akan menghadirkan skema sistem arsitektur teknologi Blockchain dengan keunggulan yang diberikan adanya transparansi dan sifat yang desentralisasi untuk tujuan meningkatkan kepercayaan pasien terhadap rekam medis dengan database bersifat desentralisasi dan transparan. Dalam menuju keberhasilan penelitian, metode yang digunakan adalah mind mapping yang akan memcahkan detail permasalahan dan solusi yang dihadirkan. Hasil dari penelitian yang didapatkan, sistem dapat meminimalisir penyalahgunaan data, serta rancangan skema yang dihadirkan tidak akan bergantung pada platform Blockchain yang menjadikan skema memiliki potensi penerapan lebih luas pada elektronik medis lainnya untuk meningkatkan keketatan perlindungan data sistem."
Pengaruh Pendidikan Kesehatan Terhadap Pengetahuan dan Sikap Remaja Tentang Seks Bebas,"Pendahuluan remaja Indonesia nampak lebih bertoleransi terhadap gaya hidup seksual pranikah atau seks bebas. Banyak faktor yang mempengaruhi perilaku ini, salah satunya adalah sikap dan pengetahuan tentang seks bebas itu sendiri. Pengetahuan dan sikap ini dapat ditingkatkan dengan pemberian penyuluhan atau pendidikan kesehatan. 
Tujuan mengetahui pengaruh pendidikan kesehatan terhadap pengetahuan dan sikap remaja tentang seks bebas. 
Metode jenis penelitian Pra-Eksperimental dengan rancangan penelitiannya adalah One Group pre-test post-test design.Sampel penelitian ini meliputi 84 siswa di SMK Negeri 6 Makassar dengan menggunakan Cluster Sampling sebagai teknik pengambilan sampel Instrumen Peneitian menggunakan kuesioner. Analisa data yang digunakan adalah analisa bivariate, Uji Paired Sample T test. 
 Hasil menunjukkan terdapat peningkatan jumlah responden yang memiliki pengetahuan baik antara sebelum dan sesudah pendidikan kesehatan yaitu perubahan rata-rata 7,131 (± 3,229) sebesar 98,8% dengan p value 0,000. Dan terdapat peningkatan jumlah responden yang memiliki sikap baik antara sebelum dan sesudah pendidikan kesehatan yaitu perubahan rata-rata 3,917 (± 3,860) sebanyak 100% dengan p value 0,000. 
Kesimpulan bahwa ada pengaruh pendidikan kesehatan terhadap pengetahuan dan sikap siswa (i) tentang seks bebas",PENDIDIKAN DAN TANTANGAN PEMBELAJARAN BERBASIS TEKNOLOGI INFORMASI DI ERA REVOLUSI INDUSTRI 4.0,"Paper bertujuan memaparkan pendidikan dan tantangan pembelajaran berbasis teknologi informasi di Era Revoulusi Industri 4.0 dan kesiapan indoensia menjawab tantangan pendidikan era revolusi industri 4.0 dalam membangun system pembelajaran berbasis teknologi informasi. Di Indonesia kesiapan menghadapi tantangan pendidikan era revolusi industri 4.0 adalah segera meningkatkan kemampuan dan keterampilan sumberdaya manusia Indonesia melalu pendidikan dengan melahirkan operator dan analis handal bidang manajemen pendidikan sebagai pendorong kemajuan pendidikan berbasis teknologi informasi di Indonesia menjawab tantangan Industri 4.0 yang terus melaju pesat. Kebijakan manajemen pendidikan di Indonesia saat ini mendorong seluruh level pendidikan, terutama pendidikan tinggi untuk memanfaatkan kemajuan teknologi digital dan komputasi pendidikan era revolusi industry keempat. Beberapa solusi yang bisa dilakukan antara lain, kesesuaian kurikulum dan kebijakan dalam pendidikan, kesiapan SDM dalam memanfaatkan ICT, mengoptimalkan kemampuan peserta didik, dan mengembangkan nilai - nilai (karakter) peserta didik, serta  dan kesiapan sarana dan prasarana pembelajaran berbasis digital. Key words:      Pendidikan, Pembelajaran Bervasis Teknologi Informasi, Revolusi Industri 4.0"
PENGARUH PENDIDIKAN KESEHATAN DENGAN FLASHCARD DAN LEAFLET TERHADAP NIAT PEMILIHAN METODE KONTRASEPSI PADA IBU NIFAS DI RSUD PANGLIMA SEBAYA TAHUN 2022,"ABSTRAK 
  
Pendahuluan : Persentase ibu meninggal yang melahirkan berusia di bawah 20 tahun dan di atas 35 tahun adalah 33% dari seluruh kematian ibu. Apabila program KB dapat dilaksanakan dengan baik, kemungkinan 33% kematian ibu dapat dicegah melalui pemakaian kontrasepsi. Flash card dan leaflet merupakan salah satu media yang dapat digunakan untuk pendidikan kesehatan termasuk dalam pemberian pendidikan kesehatan mengenai KB. Tujuan dilakukan penelitian ini adalah untuk mengetahui pengaruh pendidikan kesehatan dengan flash card dan leaflet terhadap niat pemilihan metode kontrasepsi pada ibu nifas. Metode : Metode penelitian ini adalah Quasi Eksperiment dengan pre and post test group, populasi adalah semua ibu nifas di RSUD Panglima Sebaya Tanah Grogot. Teknik pengambilan sampel dengan total sampling. Hasil : Hasil penelitian ini diperoleh terdapat pengaruh pendidikan kesehatan dengan flash card dan leaflet terhadap niat pemilihan metode kontrasepsi pada ibu nifas (p = 0,000) > α = 0,05 Pembahasan : Flash card dan leaflet sebagai media pembelajaran yang menarik sehingga dapat meningkatkan niat baik terhadap program keluarga berencana dan memudahkan seseorang untuk memahami isi materi pendidikan kesehatan yang disampaikan. Hal ini dibuktikan dari hasil post-test niat responden lebih tinggi nilainya dari pada pre-test.  Kesimpulan : Flash card dan leaflet efektif digunakan sebagai media dalam pemberian konseling KB pascasalin. 
 Kata Kunci: pendidikan kesehatan, flash card, leaflet, niat pemilihan metode kontrasepsi 
  
ABSTRACT 
  
Introduction :  The percentage of mothers who died who gave birth under the age of 20 years and above 35 years was 33 % of all maternal death. If the family planning program could be implemented properly, it is possible  that 33 % of maternal death could be prevented through the use of contraception. Flash cards and leaflets are media can be used fo health education, including health education of family planning. The purpose of this study was to determine the effect of healt education with flash card and leaflet on the intention to choose contraceptive methods in postpartum mothers. Methods : The design of this study was pre experimental with pre and post test group, the population is all postpartum mothers at panglima sebaya general hospital Tanah Grogot. Sampling technique with total sampling. Result : The result of this study showed that there was an effect of health education with flash cards and leaflets on the intention to choose contraception methods in postpartum mothers (p = 0,000) with a value of α = 0,05 Discussion : Flash cards and leaflets as interesting learning media so they can increase goodwill toward family planning programs and make it easier for someone to understand the content of the health education materials delivered. Thi is evidenced by the result of the post-test that the repondent’s intention is higher than the pre-test. Conclusion  : Flash cards and leaflets are effectively used as media in providing postpartum family planning counseling. 
Keywords :  health education, flash cards,  leaflets, intention to choose contraceptive methods",Peningkatan Daya Saing Ekonomi melalui peranan Inovasi,"Penelitian studi literatur ini membahas tentang peran inovasi dalam meningkatkan daya saing ekonomi. Tujuan dari penelitian ini adalah untuk mengidentifikasi peran inovasi dalam meningkatkan daya saing ekonomi dari perspektif internasional hingga nasional, serta tantangan-tantangan yang terkait dengan penerapan inovasi dalam meningkatkan daya saing ekonomi. Dalam penelitian ini, metode yang digunakan adalah studi literatur dengan mengumpulkan data dari sumber-sumber yang relevan di Indonesia maupun internasional. Berdasarkan hasil penelitian, inovasi dapat memberikan kontribusi yang signifikan dalam meningkatkan daya saing ekonomi. Berbagai studi menunjukkan bahwa inovasi dapat meningkatkan produktivitas, efisiensi, dan kualitas produk, serta membuka peluang baru untuk menciptakan pasar yang lebih luas dan mengurangi biaya produksi. Namun, implementasi inovasi juga dihadapkan pada berbagai tantangan, seperti keterbatasan sumber daya, kebijakan yang tidak mendukung, kurangnya investasi dalam riset dan pengembangan, serta kurangnya kesadaran akan pentingnya inovasi. Oleh karena itu, untuk meningkatkan daya saing ekonomi melalui inovasi, perlu adanya dukungan dari berbagai pihak, termasuk pemerintah, institusi pendidikan, sektor swasta, dan masyarakat umum. Pemerintah perlu menciptakan kebijakan yang mendukung pengembangan inovasi, meningkatkan akses terhadap sumber daya, serta meningkatkan dukungan untuk riset dan pengembangan. Institusi pendidikan perlu mempersiapkan tenaga kerja yang memiliki keterampilan dan pengetahuan untuk mengembangkan inovasi. Sektor swasta perlu berinvestasi dalam riset dan pengembangan serta memperhatikan inovasi sebagai strategi bisnis. Masyarakat umum perlu meningkatkan kesadaran akan pentingnya inovasi dan berperan aktif dalam mendukung pengembangan inovasi. 
 "
Analisis Efektivitas Penggunaan Teknologi dalam Pendidikan Terhadap Peningkatan Hasil Belajar,"This research aims to analyze the effectiveness of technology use in education on improving students' learning outcomes. The research method used is literature review by collecting data from various sources related to the use of technology in education. The results of the study indicate that the use of technology in education can significantly improve students' learning outcomes, especially in developing cognitive skills and critical thinking. In addition, technology can also help improve the efficiency and effectiveness of the learning process. However, the use of technology in education also has challenges and risks that must be well managed. Therefore, the use of technology in education must be carefully selected and integrated to achieve optimal results.","PENGARUH TEKNOLOGI INFORMASI, SISTEM INFORMASI BERBASIS WEB DAN KNOWLEDGE MANAGEMENT TERHADAP KINERJA KARYAWAN (LITERATURE REVIEW EXECUTIVE SUPPORT SISTEM (ESS) FOR BUSINESS)","Literature review merupakan proses untuk mengetahui sekaligus mempelajari hasil hasil penelitian yang telah diterbitkan oleh peneliti berkaitan dengan karya ilmiah sebelumnya. Kegiatan literature review dapat memberikan manfaat untuk menambah pengetahuan terkait dengan penelitian yang tengah dilakukan. Riset yang relevan serta hasil penelitian terdahulu sangat dibutuhkan dalam pembuatan literature review yang baik dan benar. Hasil penelitian sebelumnya serta riset yang relevan bermanfaat untuk menguatkan teori, gagasan, serta fenomena yang berhubungan dan berpengaruh dalam pembentukan variabel. Dalam artikel ini disajikan sebuah hasil review mengenai faktor yang dapat memengaruhi kinerja dalam sebuah perusahaan. Faktor tersebut antara lain, Teknologi Informasi, sistem informasi yang berbasis web, pengetahuan tentang manajemen (knowledge management), serta literature review mengenai Executive Support System (ESS) for Business. Hasil yang dapat diperoleh dari kegiatan literature review antara lain, (1) Pengaruh Teknologi Informasi terhadap kinerja karyawan; (2) Sistem Informasi Berbasis Web pada kinerja karyawan; (3) Knowledge Management pada kinerja karyawan."
Tantangan Guru terhadap Perkembangan Teknologi Agar Memanfaatkan Artificial Intelligence Dalam Meningkatkan Kemampuan Siswa,"Abstrak 
Latar belakang penelitian ini yaitu masih sering sekali guru menyampaikan materi dengan cara seperti biasanya dan bila bisa memanfaatkan teknologi dan AI sedangkan dunia sudah berkembang salah satunya yaitu perkembangan teknologi dan AI di lembaga pendidikan. Jadi lembaga pendidikan harus mengikuti perkembangan teknologi dan AI di dalam proses belajar mengajar agar mutu pendidikan baik itu siswa, guru mapun lembaga pendidikan tersebut. Ini tantangan lembaga pendidikan agar berubah ke lebih baik lagi agar memanfaatkan teknologi dan AI di dalam proses belajar mengajar ini adalah sebuah tantangan yang harus diterapkan dilembag pendidikan. Metode pada penelitian ini adalah penelitian kualitatif yaitu : observasi, wawancara, pengamatan dilapangan dan mendapatkan data-data penelitian dijurnal penelitian sebelumnya yang sesuai dengan judul yang peneliti angkat. Hasil dari penelitian yaitu: para pagu atau lembaga pendidik sudah merasakan dan memanfaatkan perkembangan teknologi dan AI dalam melaksanakaan proses belajar dan mengajar. Dengan manfaatkan AI banyak kemudahan dan keuntungna yang didapatkan salah-satunya mempermudah guru dan meningkatkan mutu pendidikan. Jadi dengan adanya pekembangan teknologi dan Ai ini sangatlah mebantu para tenaga pendidikan dalam proses belajar dan mengajar sehingga mutu pendidikan bertamabh meningkat secara efektif dan efesien. 
Kata kunci: Teknologi, Artificial Intelligence, Pendidikan",Implementasi Teknologi Artificial Intelligence (AI) dalam Bidang Pendidikan.,"Artificial Intelligence (AI) adalah istilah dari Industrial Society 4.0 dan Society 5.0. yang merupakan sebuah ""program komputer, pembelajaran mesin, perangkat keras dan perangkat lunak"". Artificial Intelligence ini menggunakan sebuah ilmu dari perangkat keras dan perangkat lunak yang terinspirasi oleh rekayasa terbalik dari pola neokognitron yang bekerja di otak manusia. Produk Industri 4.0 ini banyak digunakan dalam pengembangan dan aplikasi sehari-hari di berbagai bidang, termasuk pendidikan. Tujuan dari penelitian ini adalah untuk memperjelas peran AI dalam pendidikan, dan metode yang digunakan adalah metode penelitian kualitatif. Dalam dunia pendidikan, kecerdasan buatan digunakan untuk mempersonalisasi pembelajaran setiap siswa. Sistem AI ini membantu membuat profil pembelajaran untuk setiap siswa, memungkinkan materi pembelajaran disesuaikan dengan kemampuan, gaya belajar, dan pengalaman setiap siswa. Implementasi teknologi AI di bidang pendidikan mempermudah para pendidik dalam berbagai urusan terutama dalam bidang administratif seperti menentukan nilai akhir berdasarkan bobot dan penilaian, menciptakan pembelajaran yang lebih aktif, serta mempermudah tugas guru dan siswa dalam kegiatan belajar dan mengajar"
Implementasi Sistem Informasi Manajemen Akademik Berbasis Teknologi Informasi dalam Meningkatkan Mutu Pelayanan Pembelajaran di SMK,"Pembangunan bertujuan untuk mewujudkan masyarakat yang produktif, kreatif, inovatif, dan afektif. Masyarakat yang berbudaya dimana manajemen pelayanan pendidikan terlayani secara efisien dan efektif kepada pelanggannya. Oleh karena itu, sistem informasi manajemen sekolah berbasis IT harus diterapkan di sebuah sekolah. Pengambil keputusan bagian pendidikan memiliki peran penting dalam sistem informasi manajemen pendidikan, terutama dalam perencanaan, pengawasan, pemantauan dan evaluasi. Selain itu, penelitian ini bertujuan untuk membahas lebih lanjut tentang penerapan sistem informasi manajemen (SIM) untuk meningkatkan kualitas layanan belajar-mengajar di SMK. Pendekatan kualitatif digunakan dalam penelitian ini dan metode deskriptif adalah metode yang digunakan dalam penelitian ini. Populasi dalam penelitian ini adalah SMK N 2 dan SMK N 6 Bandung. Penelitian ini bertujuan untuk mengetahui bagaimana perencanaan, pelaksanaan dan evaluasi sistem informasi manajemen akademik dalam meningkatkan kualitas layanan belajar mengajar di SMK. Berdasarkan hasil penelitian menunjukkan bahwa perencanaan SIM akademik sudah cukup baik, pelaksanaan SIM akademik dilakukan oleh kepala sekolah dan tim akademik SIM dan hasilnya cukup baik. Meski demikian, saluran informasi belum berjalan secara maksimal.",Implementasi Teknologi Blockchain dalam Pengamanan Sistem Keuangan pada Perguruan Tinggi,"Dalam era digitalisasi, perguruan tinggi menghadapi tantangan besar dalam mengamankan sistem keuangan mereka dari ancaman cyber dan penyalahgunaan data. Teknologi blockchain menawarkan potensi besar untuk meningkatkan keamanan, transparansi, dan efisiensi dalam pengelolaan keuangan. Penelitian ini mengeksplorasi bagaimana blockchain dapat memperkuat sistem keuangan di perguruan tinggi, dengan fokus pada manfaat utama dan tantangan yang mungkin dihadapi. Melalui studi kasus pada lima perguruan tinggi di Indonesia, data dikumpulkan melalui wawancara mendalam, analisis dokumen, dan observasi langsung, kemudian dianalisis menggunakan teknik analisis tematik. Hasil penelitian menunjukkan bahwa blockchain dapat mengurangi risiko kecurangan, kesalahan manusia, dan memperkuat keamanan data. Selain itu, blockchain meningkatkan transparansi dan efisiensi pengelolaan keuangan. Tantangan utama adalah biaya implementasi yang tinggi dan kebutuhan keahlian teknis spesifik. Kesimpulannya, meskipun ada tantangan, potensi keuntungan jangka panjang menjadikan blockchain solusi layak bagi institusi pendidikan tinggi. Penelitian ini diakhiri dengan rekomendasi implementasi blockchain yang disesuaikan dengan kebutuhan spesifik perguruan tinggi."
