title1,abstract1,title2,abstract2,pseudo-label
"The Health Utilities Index (HUI): concepts, measurement properties and applications","This is a review of the Health Utilities Index (HUI) multi-attribute health-status classification systems, and single- and multi-attribute utility scoring systems. HUI refers to both HUI Mark 2 (HUI2) and HUI Mark 3 (HUI3) instruments. The classification systems provide compact but comprehensive frameworks within which to describe health status. The multi-attribute utility functions provide all the information required to calculate single-summary scores of health-related quality of life (HRQL) for each health state defined by the classification systems. The use of HUI in clinical studies for a wide variety of conditions in a large number of countries is illustrated. HUI provides comprehensive, reliable, responsive and valid measures of health status and HRQL for subjects in clinical studies. Utility scores of overall HRQL for patients are also used in cost-utility and cost-effectiveness analyses. Population norm data are available from numerous large general population surveys. The widespread use of HUI facilitates the interpretation of results and permits comparisons of disease and treatment outcomes, and comparisons of long-term sequelae at the local, national and international levels.","Perceived Usefulness, Ease of Use, and Usage of Information Technology: A Replication","This paper presents the findings of two studies that replicate previous work by Fred Davis on the subject of perceived usefulness, ease of use, and usage of information technology. The two studies focus on evaluating the psychometric properties of the ease of use and usefulness scales, while examining the relationship between ease of use, usefulness, and system usage. Study 1 provides a strong assessment of the convergent validity of the two scales by examining heterogeneous user groups dealing with heterogeneous implementations of messaging technology. In addition, because one might expect users to share similar perspectives about voice and electronic mail, the study also represents a strong test of discriminant validity. In this study a total of 118 respondents from 10 different organizations were surveyed for their attitudes toward two messaging technologies: voice and electronic mail.",0.18023988604545593
Internet paradox. A social technology that reduces social involvement and psychological well-being?,"The Internet could change the lives of average citizens as much as did the telephone in the early part of the 20th century and television in the 1950s and 1960s. Researchers and social critics are debating whether the Internet is improving or harming participation in community life and social relationships. This research examined the social and psychological impact of the Internet on 169 people in 73 households during their first 1 to 2 years on-line. We used longitudinal data to examine the effects of the Internet on social involvement and psychological well-being. In this sample, the Internet was used extensively for communication. Nonetheless, greater use of the Internet was associated with declines in participants' communication with family members in the household, declines in the size of their social circle, and increases in their depression and loneliness. These findings have implications for research, for public policy and for the design of technology.",Ecological momentary interventions: incorporating mobile technology into psychosocial and health behaviour treatments.,"PURPOSE Psychosocial and health behaviour treatments and therapies can be extended beyond traditional research or clinical settings by using mobile technology to deliver interventions to individuals as they go about their daily lives. These ecological momentary interventions (EMIs) are treatments that are provided to people during their everyday lives (i.e. in real time) and in natural settings (i.e. real world). The goal of the present review is to synthesize and critique mobile technology-based EMI aimed at improving health behaviours and psychological and physical symptoms. METHODS Twenty-seven interventions using palmtop computers or mobile phones to deliver ambulatory treatment for smoking cessation, weight loss, anxiety, diabetes management, eating disorders, alcohol use, and healthy eating and physical activity were identified. RESULTS There is evidence that EMI can be successfully delivered, are accepted by patients, and are efficacious for treating a variety of health behaviours and physical and psychological symptoms. Limitations of the existing literature were identified and recommendations and considerations for research design, sample characteristics, measurement, statistical analyses, and clinical implementation are discussed. CONCLUSIONS Mobile technology-based EMI can be effectively implemented as interventions for a variety of health behaviours and psychological and physical symptoms. Future research should integrate the assessment and intervention capabilities of mobile technology to create dynamically and individually tailored EMI that are ecologically sensitive.",0.3916280269622803
Acculturation and Latino health in the United States: a review of the literature and its sociopolitical context.,"This chapter provides an overview of the concept of acculturation and reviews existing evidence about the possible relationships between acculturation and selected health and behavioral outcomes among Latinos. The effect of acculturation on Latino health is complex and not well understood. In certain areas-substance abuse, dietary practices, and birth outcomes-there is evidence that acculturation has a negative effect and that it is associated with worse health outcomes, behaviors, or perceptions. In others-health care use and self-perceptions of health-the effect is mostly in the positive direction. Although the literature, to date, on acculturation lacks some breadth and methodological rigor, the public health significance of findings in areas in which there is enough evidence justifies public health action. We conclude with a set of general recommendations in two areas-public health practice and research-targeted to public health personnel in academia, community-based settings, and government agencies.",Dissecting racial bias in an algorithm used to manage the health of populations,"Racial bias in health algorithms The U.S. health care system uses commercial algorithms to guide health decisions. Obermeyer et al. find evidence of racial bias in one widely used algorithm, such that Black patients assigned the same level of risk by the algorithm are sicker than White patients (see the Perspective by Benjamin). The authors estimated that this racial bias reduces the number of Black patients identified for extra care by more than half. Bias occurs because the algorithm uses health costs as a proxy for health needs. Less money is spent on Black patients who have the same level of need, and the algorithm thus falsely concludes that Black patients are healthier than equally sick White patients. Reformulating the algorithm so that it no longer uses costs as a proxy for needs eliminates the racial bias in predicting who needs extra care. Science, this issue p. 447; see also p. 421 A health algorithm that uses health costs as a proxy for health needs leads to racial bias against Black patients. Health systems rely on commercial prediction algorithms to identify and help patients with complex health needs. We show that a widely used algorithm, typical of this industry-wide approach and affecting millions of patients, exhibits significant racial bias: At a given risk score, Black patients are considerably sicker than White patients, as evidenced by signs of uncontrolled illnesses. Remedying this disparity would increase the percentage of Black patients receiving additional help from 17.7 to 46.5%. The bias arises because the algorithm predicts health care costs rather than illness, but unequal access to care means that we spend less money caring for Black patients than for White patients. Thus, despite health care cost appearing to be an effective proxy for health by some measures of predictive accuracy, large racial biases arise. We suggest that the choice of convenient, seemingly effective proxies for ground truth can be an important source of algorithmic bias in many contexts.",0.37124696373939514
"Best Practices for Developing and Validating Scales for Health, Social, and Behavioral Research: A Primer","Scale development and validation are critical to much of the work in the health, social, and behavioral sciences. However, the constellation of techniques required for scale development and evaluation can be onerous, jargon-filled, unfamiliar, and resource-intensive. Further, it is often not a part of graduate training. Therefore, our goal was to concisely review the process of scale development in as straightforward a manner as possible, both to facilitate the development of new, valid, and reliable scales, and to help improve existing ones. To do this, we have created a primer for best practices for scale development in measuring complex phenomena. This is not a systematic review, but rather the amalgamation of technical literature and lessons learned from our experiences spent creating or adapting a number of scales over the past several decades. We identified three phases that span nine steps. In the first phase, items are generated and the validity of their content is assessed. In the second phase, the scale is constructed. Steps in scale construction include pre-testing the questions, administering the survey, reducing the number of items, and understanding how many factors the scale captures. In the third phase, scale evaluation, the number of dimensions is tested, reliability is tested, and validity is assessed. We have also added examples of best practices to each step. In sum, this primer will equip both scientists and practitioners to understand the ontology and methodology of scale development and validation, thereby facilitating the advancement of our understanding of a range of health, social, and behavioral outcomes.",'Old Economy' Inputs for 'New Economy' Outcomes: Cluster Formation in the New Silicon Valleys,"This paper discusses the results of a two-year research project on the sources of success in regional clusters of entrepreneurship and innovation like Silicon Valley. Our project has studied a number of locations, most of which have shown spectacular rates of growth of information and communcations technology-related activities during the 1990s. Our case studies comprise some emerging regions, notably in Ireland, India, Israel and Taiwan, along with more advanced areas like Northern Virginia in the US, Cambridge, UK, the Scandinavian countries and the Silicon Valley 40 years ago by way of the memory of one of its `father founders`, Gordon Moore. Through visits, interviews and other materials, we uncovered some regularities about the determinants of success of these entrepreneurial-led models of economic growth. We find that the economic factors that give rise to the start of a cluster can be very different from those that keep it going. Agglomeration economies, external effects and 'social increasing returns' of any sort arise almost naturally after a cluster has taken off. But the most difficult and risky part is to get the new clusters started. At that stage, 'old economy' factors like firm-building capabilities, managerial skills, a substantial supply of skilled labor and connection to markets were crucial for the take off of these 'new economy' clusters (including Silicon Valley 40 years ago).",0.05467516928911209
Contamination of drinking-water by arsenic in Bangladesh: a public health emergency.,"The contamination of groundwater by arsenic in Bangladesh is the largest poisoning of a population in history, with millions of people exposed. This paper describes the history of the discovery of arsenic in drinking-water in Bangladesh and recommends intervention strategies. Tube-wells were installed to provide ""pure water"" to prevent morbidity and mortality from gastrointestinal disease. The water from the millions of tube-wells that were installed was not tested for arsenic contamination. Studies in other countries where the population has had long-term exposure to arsenic in groundwater indicate that 1 in 10 people who drink water containing 500 micrograms of arsenic per litre may ultimately die from cancers caused by arsenic, including lung, bladder and skin cancers. The rapid allocation of funding and prompt expansion of current interventions to address this contamination should be facilitated. The fundamental intervention is the identification and provision of arsenic-free drinking water. Arsenic is rapidly excreted in urine, and for early or mild cases, no specific treatment is required. Community education and participation are essential to ensure that interventions are successful; these should be coupled with follow-up monitoring to confirm that exposure has ended. Taken together with the discovery of arsenic in groundwater in other countries, the experience in Bangladesh shows that groundwater sources throughout the world that are used for drinking-water should be tested for arsenic.",Linear Economy Versus Circular Economy: A Comparative and Analyzer Study for Optimization of Economy for Sustainability,"Abstract Upon visiting the existing literature on the subject of linear vs. circular economy, this paper finds that, the blueprint of the current economy is hardly sustainable by using the comparative benchmarking method that drained from literature. The intrinsic mechanics of the linear economy, by relying on the wasteful take - make - dispose flow, is detrimental to the environment, cannot supply the growing populace of our planet with essential services and it naturally leads to strained profitability. Elements of a plausible solution to the challenges have been around for decades, although they have only recently been compiled in to the conceptual framework of circular economy. The core ideas of Circular Economy are elimination of waste by design, respect for the social, economic and natural environment and resource-conscious business conduct. Built on the backbone of these principles, the circular economy has demonstrated to deliver tangible benefits and viability to address the economic, environmental and social challenges of our days.",0.10084822028875351
"Collaborative Economy and Tourism: Critical Perspectives, Questionable Claims and Silenced Voices","House swapping, ridesharing, voluntourism, couchsurfing, dinner hosting and similar innovations epitomize the collaborative economy. The rise of the collaborative economy, also known as collaborative consumption, the sharing economy and peer-to-peer consumption, has been fueled by a range of social, economic and technological factors including a shift away from ownership towards temporary access to goods; the use of technology mediated transactions between producers and consumers; direct host-guest relationships that contribute to a higher level of perceived authenticity of tourism experiences; and higher levels of consumer risk-taking balanced against mechanisms such as peer-to-peer feedback designed to engender trust between producers and consumers. This paper explores and critically assesses the collaborative economy and its implications for tourism industrial systems. It achieves this by mapping out the current knowledge dynamics characterising tourism and the collaborative economy, paying particular attention to the asymmetries of knowledge that are emerging. The paper then identifies and critically discusses five pervasive claims being made about the collaborative economy, arguing for a balanced assessment of such claims. Highlighting these claims allows us to pursue a more reflective research agenda and leads to a more informed, evidence-based assessment of the collaborative economy and tourism.","Technology development for the production of biobased products from biorefinery carbohydrates-the US Department of Energy's ""Top 10"" revisited","A biorefinery that supplements its manufacture of low value biofuels with high value biobased chemicals can enable efforts to reduce nonrenewable fuel consumption while simultaneously providing the necessary financial incentive to stimulate expansion of the biorefining industry. However, the choice of appropriate products for addition to the biorefinery's portfolio is challenged by a lack of broad-based conversion technology coupled with a plethora of potential targets. In 2004, the US Department of Energy (DOE) addressed these challenges by describing a selection process for chemical products that combined identification of a small group of compounds derived from biorefinery carbohydrates with the research and technology needs required for their production. The intent of the report was to catalyze research efforts to synthesize multiple members of this group, or, ideally, structures not yet on the list. In the six years since DOE's original report, considerable progress has been made in the use of carbohydrates as starting materials for chemical production. This review presents an updated evaluation of potential target structures using similar selection methodology, and an overview of the technology developments that led to the inclusion of a given compound. The list provides a dynamic guide to technology development that could realize commercial success through the proper integration of biofuels with biobased products.",-0.01624278537929058
Toward a Greater Understanding of Entrepreneurship and Strategy in the Informal Economy,"The informal economy consists of business activities that occur outside of formal institutional boundaries but within the boundaries of informal institutions. A large gap exists between the significant importance of the informal economy to commerce around the world and the small amount of informal economy research with which entrepreneurship and strategic management scholars have been involved. As a step toward filling this gap, this special issue includes four articles with the potential to significantly advance our understanding of business activities within the informal economy. In introducing these four articles, we discuss the myriad activities that fall within the boundaries of the informal economy and distinguish between the institutional foundations of informality in developed versus developing economies. The articles included within the special issue each offer a unique understanding of how entrepreneurs are influenced by and manage their institutional contexts in various informal economy settings, providing contributions that should give rise to a series of promising future research questions. Copyright 2014 Strategic Management Society.",Evaluating the public health impact of health promotion interventions: the RE-AIM framework.,"Progress in public health and community-based interventions has been hampered by the lack of a comprehensive evaluation framework appropriate to such programs. Multilevel interventions that incorporate policy, environmental, and individual components should be evaluated with measurements suited to their settings, goals, and purpose. In this commentary, the authors propose a model (termed the RE-AIM model) for evaluating public health interventions that assesses 5 dimensions: reach, efficacy, adoption, implementation, and maintenance. These dimensions occur at multiple levels (e.g., individual, clinic or organization, community) and interact to determine the public health or population-based impact of a program or policy. The authors discuss issues in evaluating each of these dimensions and combining them to determine overall public health impact. Failure to adequately evaluate programs on all 5 dimensions can lead to a waste of resources, discontinuities between stages of research, and failure to improve public health to the limits of our capacity. The authors summarize strengths and limitations of the RE-AIM model and recommend areas for future research and application.",0.026338331401348114
Shaping Agility through Digital Options: Reconceptualizing the Role of Information Technology in Contemporary Firms,"Agility is vital to the innovation and competitive performance of firms in contemporary business environments. Firms are increasingly relying on information technologies, including process, knowledge, and communication technologies, to enhance their agility. The purpose of this paper is to broaden understanding about the strategic role of IT by examining the nomological network of influences through which IT impacts firm performance. By drawing upon recent thinking in the strategy, entrepreneurship, and IT management literatures, this paper uses a multitheoretic lens to argue that information technology investments and capabilities influence firm performance through three significant organizational capabilities (agility, digital options, and entrepreneurial alertness) and strategic processes (capability-building, entrepreneurial action, and coevolutionary adaptation). We also propose that these dynamic capabilities and strategic processes impact the ability of firms to launch many and varied competitive actions and that, in turn, these competitive actions are a significant antecedent of firm performance. Through our theorizing, we draw attention to a significant and reframed role of IT as a digital options generator in contemporary firms.",Police Brutality and Black Health: Setting the Agenda for Public Health Scholars.,"We investigated links between police brutality and poor health outcomes among Blacks and identified five intersecting pathways: (1) fatal injuries that increase population-specific mortality rates; (2) adverse physiological responses that increase morbidity; (3) racist public reactions that cause stress; (4) arrests, incarcerations, and legal, medical, and funeral bills that cause financial strain; and (5) integrated oppressive structures that cause systematic disempowerment. Public health scholars should champion efforts to implement surveillance of police brutality and press funders to support research to understand the experiences of people faced with police brutality. We must ask whether our own research, teaching, and service are intentionally antiracist and challenge the institutions we work in to ask the same. To reduce racial health inequities, public health scholars must rigorously explore the relationship between police brutality and health, and advocate policies that address racist oppression.",0.03027675673365593
"Environment, economy and society: fitting them together into sustainable development","Sustainable development is a contested concept, with theories shaped by people's and organizations' different worldviews, which in turn influence how issues are formulated and actions proposed. It is usually presented as the intersection between environment, society and economy, which are conceived of as separate although connected entities. We would argue that these are not unified entities: rather they are fractured and multi-layered and can be considered at different spatial levels. The economy is often given priority in policies and the environment is viewed as apart from humans. They are interconnected, with the economy dependent on society and the environment while human existence and society are dependent on, and within the environment. The separation of environment, society and economy often leads to a narrow techno-scientific approach, while issues to do with society that are most likely to challenge the present socio-economic structure are often marginalized, in particular the sustainability of communities and the maintenance of cultural diversity. Copyright 2002 John Wiley & Sons, Ltd. and ERP Environment",Electronic Data Interchange and Small Organizations: Adoption and Impact of Technology,"Many EDI researchers and practitioners have recognized the importance of high penetration levels for the success of EDI. Unfortunately, such penetration is partly impeded by the resistance of small companies to become EDI capable. To investigate this issue, we identify three major factors that influence the EDI adoption practices of small firms. These factors are: organizational readiness (because of the low levels of IT sophistication and resource availability of small firms), external pressures to adopt (because of the weak market positions of small firms and the network nature of the technology), and perceived benefits (because of the limited impact that IT has on small firms due to under-utilization and lack of integration). By combining the anticipated effects of these factors, we developed a framework of EDI adoption by small businesses. The applicability of this framework is empirically demonstrated using the results of seven case studies. Lastly, recommendations are made for the development of successful EDI partner expansion plans. These include the development of a long term EDI partner expansion plan from the very beginning, the individual assessment of each partner's EDI preparedness level, and the selection of appropriate influence tactics to expedite adoption by small partners. Specifically, it is suggested that EDI initiators pursue promotional efforts to improve partners' perceptions of EDI benefits, provide financial and technological assistance to partners with low organizational readiness, and carefully select and enact influence strategies to reduce resistance.",0.13927049934864044
"Can electronic medical record systems transform health care? Potential health benefits, savings, and costs.","To broadly examine the potential health and financial benefits of health information technology (HIT), this paper compares health care with the use of IT in other industries. It estimates potential savings and costs of widespread adoption of electronic medical record (EMR) systems, models important health and safety benefits, and concludes that effective EMR implementation and networking could eventually save more than $81 billion annually--by improving health care efficiency and safety--and that HIT-enabled prevention and management of chronic disease could eventually double those savings while increasing health and other social benefits. However, this is unlikely to be realized without related changes to the health care system.",The world economy : historical statistics = L'̩conomie mondiale : statistiques historiques,"Angus Maddison provides a comprehensive view of the growth and levels of world population since the year 1000 when rich countries of today were poorer than Asia and Africa. The gap between the world leader, the US and the poorest region, Africa, is now 20:1. The book has several objectives. The first is a pioneering effort to quantify the economic performance of nations over the very long term. The second is to identify forces which explain the success of the rich countries, and explore the obstacles which hindered advance in regions which lagged behind. The third is to scrutinise the interaction between the rich and the rest to assess the degree to which this relationship was exploitative. The book is a monumental work of reference and a sequel to the author's Monitoring the World Economy: 1820-1992, published in 1995 and his 1998 Chinese Economic Performance in the Long Run. It is a ""must"" for all scholars and students of economics and economic history, as well as a mine of fascinating facts for everyone else. More information at: www.TheWorldEconomy.org . ""A tour de force. What a wonderful gift for the new century."" -Robert Mundell, Nobel Prize winner and Professor of Economics, Columbia University. ""An essential reference for anyone interested in global development for many years to come."" -Paul Krugman, Professor of Economics, Princeton University. ""Quite simply a dazzling essay."" -Nicholas Eberstadt, American Enterprise Institute. ""Highly recommended . . . refreshing and full of historical information. An important book."" -Kisanhani F. Emizet, Kanzas University, writing in International Politics. A Winner of the 2001 Awards for Notable Government Documents conferred by the American Library Association/Library Journal",0.07720638811588287
